question_id,question,ground_truth,rag_type,rag_name,answer,contexts_count,faithfulness,answer_relevancy,context_precision,context_recall,average_score,input_tokens,output_tokens,total_tokens,cost,execution_time
8,¿Cuál es la probabilidad de parto vaginal luego de una cesárea?,La probabilidad de parto vaginal es de 74% luego de una cesárea sin otros riesgos asociados.,hyde,HyDE RAG (Hypothetical Documents),"La probabilidad de lograr un parto vaginal después de una cesárea previa, también conocido como VBAC (por sus siglas en inglés, Vaginal Birth After Cesarean), es del 74%. Esta cifra se refiere a mujeres que optan por una prueba de trabajo de parto (PTP) después de haber tenido una cesárea anterior. Es importante destacar que esta probabilidad se aplica a mujeres que no presentan otros factores de riesgo significativos y que son consideradas elegibles para intentar un parto vaginal.

La decisión de intentar un VBAC debe ser discutida cuidadosamente entre la mujer embarazada y su equipo de salud, considerando los riesgos y beneficios tanto para la madre como para el recién nacido. La evidencia sugiere que el trabajo de parto después de una cesárea previa es una opción razonable y segura, con riesgos de resultados adversos maternos y neonatales similares a los de una cesárea electiva.

Además, se recomienda que el control prenatal de una mujer embarazada con antecedente de cesárea se realice en una institución de baja complejidad, y que en la semana 32 de gestación sea remitida para una valoración más detallada. Esta evaluación ayudará a definir si es más adecuado continuar con un intento de parto vaginal o programar una cesárea electiva.",5,0.9091,0.9828,0.8333,1.0,0.931,954,870,1824,0.005574,10.158
8,¿Cuál es la probabilidad de parto vaginal luego de una cesárea?,La probabilidad de parto vaginal es de 74% luego de una cesárea sin otros riesgos asociados.,simple,Simple Semantic RAG,"La probabilidad de lograr un parto vaginal después de una cesárea previa es del 74%, según la información proporcionada en el Documento 1. Este dato se refiere a mujeres que optan por una prueba de trabajo de parto después de haber tenido una cesárea anterior. La evidencia sugiere que intentar un parto vaginal después de una cesárea es una opción razonable y segura, con riesgos de resultados adversos maternos y neonatales similares a otras opciones, como se menciona en el Documento 2. Además, el Documento 3 indica que entre el 28% y el 70% de las gestantes con antecedente de cesárea se someten a una prueba de trabajo de parto, lo que sugiere que es una práctica común y aceptada.",5,0.7143,0.983,0.8056,1.0,0.876,774,162,936,0.003555,2.95
8,¿Cuál es la probabilidad de parto vaginal luego de una cesárea?,La probabilidad de parto vaginal es de 74% luego de una cesárea sin otros riesgos asociados.,rewriter,Rewriter RAG (Multi-Query),"1. La probabilidad de parto vaginal luego de una cesárea es del 74%.

2. Este dato se refiere a mujeres que optan por una prueba de trabajo de parto después de una cesárea previa.

3. No hay información adicional relevante en los documentos de alta relevancia.

4. No se mencionan limitaciones específicas en la información proporcionada.",8,0.5,0.9105,0.8542,1.0,0.816,359,205,564,0.000487,6.458
9,¿Cuáles son las metas de ganancia de peso en las mujeres gestantes?,"Se recomienda registrar el Índice de Masa Corporal (IMC) de la gestante en la cita de inscripción al control prenatal (alrededor de la semana 10) y con base en este establecer las metas de ganancia de peso durante la gestación de acuerdo a los siguientes parámetros: • IMC < 20 kg/m2 = ganancia entre 12 a 18 Kg • IMC entre 20 y 24,9 kg/m2 = ganancia entre 10 a 13 Kg • IMC entre 25 y 29,9 kg/m2 = ganancia entre 7 a 10 Kg • IMC > 30 kg/m2 = ganancia entre 6 a 7 Kg",hybrid,Hybrid RAG (BM25 + Semantic),"Las metas de ganancia de peso durante la gestación se establecen en función del Índice de Masa Corporal (IMC) de la gestante al inicio del embarazo. Según la información proporcionada en el contexto, las recomendaciones son las siguientes:

1. **IMC < 20 kg/m²**: Se recomienda una ganancia de peso total entre 12 a 18 kg. Además, debido al alto riesgo de parto pretérmino asociado con un IMC bajo, se sugiere remitir a la gestante a un plan de manejo nutricional específico.

2. **IMC entre 20 y 24,9 kg/m²**: La ganancia de peso recomendada es entre 10 a 13 kg.

3. **IMC entre 25 y 29,9 kg/m²**: Se aconseja una ganancia de peso entre 7 a 10 kg.

4. **IMC > 30 kg/m²**: La ganancia de peso recomendada es entre 6 a 7 kg.

Es importante realizar un seguimiento regular de la ganancia de peso en cada control prenatal. Si se detecta una ganancia de peso inadecuada a las 28 semanas, se debe continuar el control bajo la supervisión de un equipo multidisciplinario especializado. No se recomiendan orientaciones nutricionales para bajar de peso durante la gestación.

Además, si la inscripción al control prenatal es tardía (después de la semana 16-18), se debe registrar el IMC pregestacional para establecer las metas de ganancia de peso. La ganancia inadecuada de peso en el tercer trimestre también se asocia con un mayor riesgo de parto pretérmino, por lo que es crucial mantener un control adecuado durante todo el embarazo.",5,0.9231,0.9572,1.0,1.0,0.97,1072,367,1439,0.00635,6.198
9,¿Cuáles son las metas de ganancia de peso en las mujeres gestantes?,"Se recomienda registrar el Índice de Masa Corporal (IMC) de la gestante en la cita de inscripción al control prenatal (alrededor de la semana 10) y con base en este establecer las metas de ganancia de peso durante la gestación de acuerdo a los siguientes parámetros: • IMC < 20 kg/m2 = ganancia entre 12 a 18 Kg • IMC entre 20 y 24,9 kg/m2 = ganancia entre 10 a 13 Kg • IMC entre 25 y 29,9 kg/m2 = ganancia entre 7 a 10 Kg • IMC > 30 kg/m2 = ganancia entre 6 a 7 Kg",simple,Simple Semantic RAG,"Las metas de ganancia de peso durante la gestación se establecen en función del Índice de Masa Corporal (IMC) de la gestante al inicio del embarazo. Según el contexto proporcionado, las recomendaciones son las siguientes:

1. **IMC < 20 kg/m²**: La ganancia de peso recomendada es entre 12 a 18 kg. Además, debido al alto riesgo de parto pretérmino asociado con un IMC bajo, se recomienda remitir a estas gestantes a un plan de manejo nutricional específico.

2. **IMC entre 20 y 24,9 kg/m²**: La ganancia de peso recomendada es entre 10 a 13 kg.

3. **IMC entre 25 y 29,9 kg/m²**: La ganancia de peso recomendada es entre 7 a 10 kg.

4. **IMC > 30 kg/m²**: La ganancia de peso recomendada es entre 6 a 7 kg.

Es importante realizar un seguimiento de la ganancia de peso en cada control prenatal. Si la inscripción al control prenatal es tardía (después de la semana 16-18), se recomienda registrar el IMC pregestacional para establecer las metas de ganancia de peso. Además, no se recomiendan orientaciones nutricionales encaminadas a bajar de peso durante la gestación.",5,1.0,0.9678,0.8056,1.0,0.943,894,286,1180,0.005095,3.559
9,¿Cuáles son las metas de ganancia de peso en las mujeres gestantes?,"Se recomienda registrar el Índice de Masa Corporal (IMC) de la gestante en la cita de inscripción al control prenatal (alrededor de la semana 10) y con base en este establecer las metas de ganancia de peso durante la gestación de acuerdo a los siguientes parámetros: • IMC < 20 kg/m2 = ganancia entre 12 a 18 Kg • IMC entre 20 y 24,9 kg/m2 = ganancia entre 10 a 13 Kg • IMC entre 25 y 29,9 kg/m2 = ganancia entre 7 a 10 Kg • IMC > 30 kg/m2 = ganancia entre 6 a 7 Kg",hyde,HyDE RAG (Hypothetical Documents),"Las metas de ganancia de peso durante la gestación se establecen en función del Índice de Masa Corporal (IMC) pregestacional de la mujer. Según la información proporcionada en los documentos, las recomendaciones son las siguientes:

1. **IMC < 20 kg/m²**: La ganancia de peso recomendada es entre 12 a 18 kg. Las mujeres con un IMC bajo tienen un mayor riesgo de parto pretérmino y deben ser remitidas a un plan de manejo nutricional específico.

2. **IMC entre 20 y 24,9 kg/m²**: La ganancia de peso recomendada es entre 10 a 13 kg. Este rango de IMC se considera peso normal.

3. **IMC entre 25 y 29,9 kg/m²**: La ganancia de peso recomendada es entre 7 a 10 kg. Este rango corresponde a mujeres con sobrepeso.

4. **IMC > 30 kg/m²**: La ganancia de peso recomendada es entre 6 a 7 kg. Las mujeres en este rango de IMC son consideradas obesas y tienen un mayor riesgo de complicaciones como diabetes, hipertensión y macrosomía fetal.

Es importante realizar un seguimiento de la ganancia de peso en cada control prenatal. Si se detecta una ganancia inadecuada de peso, especialmente a las 28 semanas, se recomienda que la gestante continúe su control bajo la supervisión de un equipo multidisciplinario especializado. Además, no se recomiendan orientaciones nutricionales encaminadas a bajar de peso durante la gestación, ya que el estado nutricional se relaciona directamente con los resultados del embarazo, afectando tanto al feto como a la madre.",5,1.0,0.9366,0.8056,1.0,0.936,1087,905,1992,0.006764,9.062
9,¿Cuáles son las metas de ganancia de peso en las mujeres gestantes?,"Se recomienda registrar el Índice de Masa Corporal (IMC) de la gestante en la cita de inscripción al control prenatal (alrededor de la semana 10) y con base en este establecer las metas de ganancia de peso durante la gestación de acuerdo a los siguientes parámetros: • IMC < 20 kg/m2 = ganancia entre 12 a 18 Kg • IMC entre 20 y 24,9 kg/m2 = ganancia entre 10 a 13 Kg • IMC entre 25 y 29,9 kg/m2 = ganancia entre 7 a 10 Kg • IMC > 30 kg/m2 = ganancia entre 6 a 7 Kg",rewriter,Rewriter RAG (Multi-Query),"1. Las metas de ganancia de peso durante la gestación se establecen según el Índice de Masa Corporal (IMC) de la gestante al inicio del embarazo. No se recomiendan orientaciones nutricionales para bajar de peso durante la gestación.

2. Detalles específicos del contexto:
   - IMC < 20 kg/m²: ganancia entre 12 a 18 kg.
   - IMC entre 20 y 24,9 kg/m²: ganancia entre 10 a 13 kg.
   - IMC entre 25 y 29,9 kg/m²: ganancia entre 7 a 10 kg.
   - IMC > 30 kg/m²: ganancia entre 6 a 7 kg.

3. Información relacionada relevante:
   - Se recomienda realizar un seguimiento de la ganancia de peso en cada control prenatal. Si la ganancia es inadecuada a las 28 semanas, se debe continuar el control con un equipo multidisciplinario especializado.

4. Limitaciones de la información disponible:
   - No se proporcionan detalles sobre cómo ajustar las metas de ganancia de peso en casos de embarazos múltiples o condiciones médicas específicas.",8,0.8889,0.9327,0.6226,1.0,0.861,362,157,519,0.000416,9.298
10,Cual es el tratamiento para las nauseas y vomito del embarazo,"A juicio del médico tratante, las intervenciones recomendadas para la reducción de la náusea y el vómito incluyen el jengibre, los antihistamínicos y la vitamina B6",simple,Simple Semantic RAG,"El tratamiento para las náuseas y vómitos durante el embarazo, según la información proporcionada en los documentos, incluye tanto intervenciones no farmacológicas como farmacológicas. 

1. **Intervenciones no farmacológicas:**
   - **Jengibre:** Se menciona un estudio controlado aleatorizado (ECC) que evaluó el uso de jengibre (250 mg cuatro veces al día) en comparación con un placebo, mostrando su eficacia en el tratamiento de las náuseas y vómitos.
   - **Cambios en el hábito alimenticio:** Aunque no se detallan específicamente, se sugiere que modificaciones en la dieta pueden ser beneficiosas.
   - **Acupuntura:** También se menciona como una intervención no farmacológica eficaz.

2. **Intervenciones farmacológicas:**
   - **Antihistamínicos:** Estos han demostrado ser eficaces y seguros para mejorar los síntomas de náuseas y vómitos. Sin embargo, se asocian con un aumento de la somnolencia.
   - **Vitamina B6 (piridoxina):** Se ha evaluado su uso en comparación con placebo o ningún tratamiento, mostrando una reducción de las náuseas.

Además, es importante informar a las mujeres embarazadas que la mayoría de los casos de náuseas y vómitos se resuelven espontáneamente antes de la semana 16 a 20 de gestación y que generalmente no están asociados con resultados adversos del embarazo. 

En resumen, el tratamiento puede incluir el uso de jengibre, cambios en la dieta, acupuntura, antihistamínicos y vitamina B6, dependiendo de la preferencia y tolerancia de la paciente, así como de la severidad de los síntomas.",5,1.0,0.907,1.0,1.0,0.977,823,366,1189,0.005718,7.919
10,Cual es el tratamiento para las nauseas y vomito del embarazo,"A juicio del médico tratante, las intervenciones recomendadas para la reducción de la náusea y el vómito incluyen el jengibre, los antihistamínicos y la vitamina B6",rewriter,Rewriter RAG (Multi-Query),"1. El tratamiento recomendado para las náuseas y vómitos durante el embarazo incluye el uso de jengibre, antihistamínicos y vitamina B6.

2. Específicamente, se menciona el uso de jengibre en una dosis de 250 mg cuatro veces al día. Además, se informa que la mayoría de los casos de náuseas y vómitos en el embarazo se resuelven espontáneamente antes de la semana 16 a 20 de gestación y no suelen estar asociados con un resultado adverso del embarazo.

3. No se proporcionan más detalles específicos sobre las dosis de antihistamínicos o vitamina B6 en los documentos de alta relevancia.

4. No hay limitaciones significativas en la información proporcionada en los documentos de alta relevancia.",8,1.0,0.9003,1.0,1.0,0.975,353,196,549,0.00047,6.941
10,Cual es el tratamiento para las nauseas y vomito del embarazo,"A juicio del médico tratante, las intervenciones recomendadas para la reducción de la náusea y el vómito incluyen el jengibre, los antihistamínicos y la vitamina B6",hyde,HyDE RAG (Hypothetical Documents),"El tratamiento para las náuseas y vómitos durante el embarazo, especialmente en la primera mitad, incluye tanto intervenciones no farmacológicas como farmacológicas. Según la información proporcionada en los documentos, las siguientes son las recomendaciones:

1. **Intervenciones no farmacológicas:**
   - **Jengibre:** Se ha evaluado su efectividad en un ensayo clínico controlado que incluyó 70 pacientes, donde se administró jengibre en dosis de 250 mg cuatro veces al día. El jengibre es una opción natural que ha mostrado ser eficaz en la reducción de estos síntomas.
   - **Cambios en el hábito alimenticio:** Aunque no se detallan en los documentos, generalmente se recomienda comer comidas pequeñas y frecuentes, evitar alimentos grasos o picantes, y mantenerse bien hidratada.
   - **Acupuntura:** Esta técnica también ha sido mencionada como una intervención no farmacológica que puede ayudar a aliviar las náuseas y vómitos.

2. **Intervenciones farmacológicas:**
   - **Antihistamínicos:** Estos medicamentos han demostrado ser eficaces y seguros para el tratamiento de las náuseas y vómitos en el embarazo.
   - **Vitamina B6:** También se recomienda como parte del tratamiento para estos síntomas.

Es importante que las mujeres embarazadas reciban información adecuada sobre las náuseas y vómitos durante la gestación, incluyendo que la mayoría de los casos se resuelven espontáneamente antes de la semana 16 a 20 de gestación y que generalmente no están asociados con resultados adversos del embarazo.

Estas recomendaciones deben ser discutidas con un profesional de la salud para asegurar que se adapten a las necesidades individuales de cada paciente y para considerar cualquier contraindicación o interacción con otros tratamientos que la paciente pueda estar recibiendo.",5,0.7059,0.8997,1.0,1.0,0.901,973,1027,2000,0.006779,10.583
10,Cual es el tratamiento para las nauseas y vomito del embarazo,"A juicio del médico tratante, las intervenciones recomendadas para la reducción de la náusea y el vómito incluyen el jengibre, los antihistamínicos y la vitamina B6",hybrid,Hybrid RAG (BM25 + Semantic),"El tratamiento para las náuseas y vómitos durante el embarazo, especialmente en la primera mitad, incluye tanto intervenciones no farmacológicas como farmacológicas. Según la información proporcionada en los documentos, las siguientes son las recomendaciones basadas en evidencia:

1. **Intervenciones No Farmacológicas:**
   - **Jengibre:** Se ha evaluado en un ensayo clínico controlado (ECC) que incluyó 70 pacientes, donde se administró jengibre en dosis de 250 mg cuatro veces al día, mostrando eficacia en la reducción de náuseas y vómitos en comparación con placebo.
   - **Cambios en el Hábito Alimenticio:** Modificaciones en la dieta pueden ayudar a aliviar los síntomas.
   - **Acupuntura:** Ha mostrado ser una intervención eficaz para mejorar los síntomas.

2. **Intervenciones Farmacológicas:**
   - **Antihistamínicos:** Estos medicamentos han demostrado ser eficaces y seguros para el tratamiento de las náuseas y vómitos en el embarazo.
   - **Vitamina B6 (Piridoxina):** También se recomienda como tratamiento para estos síntomas.

Es importante que las mujeres embarazadas reciban información adecuada sobre las náuseas y vómitos durante la gestación, incluyendo que la mayoría de los casos se resuelven espontáneamente antes de la semana 16 a 20 de gestación y que generalmente no están asociados con resultados adversos del embarazo.

Estas recomendaciones están basadas en la evidencia disponible y deben ser consideradas en el contexto de cada paciente, teniendo en cuenta sus necesidades individuales y cualquier contraindicación que pueda existir. Siempre es recomendable que las mujeres embarazadas consulten con su médico antes de iniciar cualquier tratamiento.",5,0.9375,0.8996,0.6389,1.0,0.869,917,359,1276,0.005883,7.662
